email,label
Congratulations! You've won a $1000 Walmart gift card. Click to claim now!,spam
"Hey, are we still meeting tomorrow for lunch?",ham
Your loan has been approved! Transfer money instantly.,spam
"Hi John, just sending over the presentation slides for tomorrow.",ham
Limited time offer! Get 70% off on all electronics.,spam
Can you review the budget report I sent yesterday?,ham
Work from home and earn $500 per day. No experience needed!,spam
"Team, please submit your timesheets by EOD.",ham
You've been selected for a free cruise to the Bahamas!,spam
Don’t forget the dentist appointment at 4 PM.,ham
Exclusive deal just for you! Buy 1 get 1 free on all items.,spam
I’m forwarding the client feedback for your review.,ham
This is not a joke! You’ve won a brand new car.,spam
Let’s catch up this weekend. It’s been too long!,ham
Your Amazon order has been shipped. Track your package now.,ham
Make thousands with crypto investments—get started today!,spam
Reminder: Submit your assignment by Sunday night.,ham
Claim your free Netflix subscription—limited spots available!,spam
Let me know your availability for the project kickoff call.,ham
Get rid of belly fat in 10 days! See how this mom did it.,spam
